time,obs
12337,174.05
12336,174.33
12336,174.81
12335,175.28
12335,175.92
12334,176.24
12334,176.59
12333,177.14
12333,177.53
12333,177.94
12332,178.46
12332,179.53
12331,181.05
12331,181.3
12330,180.9
12330,180.6
12329,179.8
12329,179.25
12328,178.84
12328,178.24
12327,177.44
12327,175.83
12327,174.44
12326,174.34
12326,174.09
12325,174.11
12325,174.54
12324,174.5
12324,174.38
12323,173.74
12323,173.53
12322,174.05
12322,174.5
12321,174.22
12321,174.07
12320,174.22
12320,174
12320,174.1
12319,174.59
12319,175.49
12318,176.36
12318,175.94
12317,175.94
12317,176.27
12316,176.92
12316,177.05
12315,176.73
12315,176.9
12314,177.17
12314,177.17
12314,176.94
12313,177.1
12313,177
12312,176.79
12312,176.91
12311,177.03
12311,176.76
12310,176.35
12310,175.76
12309,174.86
12309,174.41
12308,174.18
12308,174.14
12307,174.68
12307,175.5
12307,175.53
12306,175.8
12306,176.17
12305,175.92
12305,176.92
12304,177.8
12304,177
12303,175.85
12303,174.7
12302,172.8
12302,170.95
12301,170.24
12301,169.41
12301,169.36
12300,168.66
12300,167.73
12299,167.99
12299,168.52
12298,168.91
12298,169.47
12297,170.26
12297,171.41
12296,172.33
12296,172.53
12295,172.81
12295,172.92
12294,172.87
12294,173.1
12294,173.37
12293,173.77
12293,174.68
12292,175.29
12292,175.86
12291,176.73
12291,177.44
12290,178.29
12290,178.61
12289,179.22
12289,178.48
12288,177.91
12288,176.61
12287,174.85
12287,173.11
12287,171.98
12286,171.31
12286,170.57
12285,169.45
12285,167.59
12284,166.77
12284,166.65
12283,166.67
12283,167.25
12282,167.2
12282,165.94
12281,164.93
12281,164.29
12281,164.35
12280,165.02
12280,165.57
12279,166.01
12279,167.18
12278,167.7
12278,167.69
12277,168.73
12277,169.24
12276,168.67
12276,168.25
12275,168.74
12275,168.69
12274,168.46
12274,167.63
12274,166.58
12273,165.95
12273,166.24
12272,166.25
12272,166.42
12271,166.61
12271,166.08
12270,165.62
12270,165.24
12269,165.45
12269,165.85
12268,166
12268,166.07
12268,166.54
12267,167.37
12267,168.1
12266,168.82
12266,169.61
12265,171
12265,172.34
12264,172.56
12264,172.71
12263,172.51
12263,172.01
12262,171.45
12262,171.29
12261,171.24
12261,170.73
12261,169.85
12260,168.4
12260,167.91
12259,168.75
12259,168.92
12258,168.26
12258,167.48
12257,167.37
12257,167.39
12256,167.15
12256,167.18
12255,166.77
12255,165.93
12255,165.02
12254,165.09
12254,166.5
12253,167.48
12253,167.74
12252,167.4
12252,166.99
12251,166.86
12251,167.84
12250,169.18
12250,169.16
12249,168.65
12249,167.52
12248,167.05
12248,165.74
12248,164.56
12247,165.07
12247,165.85
12246,165.69
12246,165.04
12245,164.72
12245,165.03
12244,165.27
12244,165.5
12243,166.32
12243,168.04
12242,168.93
12242,169.06
12241,168.6
12241,168.82
12241,169.54
12240,170.81
12240,172.25
12239,172.82
12239,173.25
12238,173.64
12238,173.87
12237,173.86
