time,obs
11618,172.18
11617,171.62
11617,171.21
11617,171.04
11616,171.24
11616,171.72
11615,172.41
11615,173.3
11614,173.58
11614,172.87
11613,171.76
11613,171.42
11612,171.38
11612,171.18
11611,170.97
11611,170.97
11610,170.86
11610,170.9
11610,170.99
11609,171.22
11609,171.41
11608,171.66
11608,171.91
11607,171.98
11607,171.85
11606,172.01
11606,172.09
11605,171.78
11605,171.41
11604,171.12
11604,170.87
11604,170.41
11603,170.07
11603,170.25
11602,170.79
11602,171.33
11601,171.59
11601,172.1
11600,172.73
11600,173.42
11599,173.94
11599,174.17
11598,174.41
11598,175.35
11597,175.98
11597,176.27
11597,175.58
11596,174.6
11596,173.74
11595,172.93
11595,172.09
11594,171.55
11594,171.09
11593,170.97
11593,170.82
11592,170.58
11592,170.27
11591,170.16
11591,170.37
11591,170.06
11590,170.31
11590,170.9
11589,171.52
11589,171.83
11588,171.96
11588,172.05
11587,172.03
11587,171.91
11586,172.33
11586,172.82
11585,173.68
11585,174.82
11584,175.68
11584,175.94
11584,175.92
11583,176.1
11583,176.01
11582,175.96
11582,175.95
11581,175.73
11581,175.45
11580,175.23
11580,174.61
11579,173.9
11579,173.55
11578,173.19
11578,173.2
11577,173.29
11577,173.18
11577,173.09
11576,173.03
11576,172.96
11575,173.59
11575,173.45
11574,173.62
11574,173.62
11573,173.58
11573,173.73
11572,173.53
11572,172.57
11571,172.41
11571,172.58
11571,172.64
11570,172.6
11570,172.38
11569,171.83
11569,171.43
