obs
6.28984
6.67149
6.87101
6.64663
6.84196
6.54035
6.57387
6.91366
6.82269
6.99764
6.72877
6.61381
6.93461
6.53889
6.39097
6.2778
6.49998
6.44366
6.3812
6.4267
6.22787
6.48702
6.2106
6.22111
6.4166
6.37075
6.0936
6.49517
6.55901
6.3665
6.39045
6.44194
6.46652
6.27957
6.58734
6.56324
6.48149
6.21551
6.03196
6.33049
6.66269
6.66684
6.66139
6.1659
6.26293
6.4393
6.45245
6.50524
6.60821
6.43356
6.07468
6.05181
6.00875
5.69683
5.83021
5.98455
6.07002
6.12669
6.10911
6.19341
6.10598
6.3386
6.63759
6.1976
6.48545
6.25278
6.40893
6.11863
6.04858
5.76167
5.98349
5.82136
5.56124
5.87731
5.94667
6.00697
5.98319
6.17698
5.96566
6.23517
6.08368
5.93999
6.47043
6.42273
6.35157
6.55954
6.85158
6.52122
6.37396
6.35152
6.48209
6.30961
6.29081
6.08489
6.50814
6.12467
6.01071
6.08112
6.24164
6.23843
6.01621
6.03009
5.74912
6.04751
5.86497
5.68148
5.95704
6.33021
6.16601
6.47439
5.91364
5.46577
5.40256
5.30448
5.8951
6.37091
6.20974
6.22259
6.00296
6.03143
6.01176
6.13563
6.01055
6.09147
5.95538
5.88674
6.02003
5.80815
6.02899
5.9338
6.34293
6.21149
5.95022
5.77914
5.99854
5.766
5.96187
5.89007
5.61267
5.67539
5.6442
5.58204
5.71135
5.63215
5.38812
5.54684
5.45691
5.05458
5.23364
5.12447
5.17808
4.86205
4.88343
4.99176
4.93378
5.11897
5.11459
5.17344
5.20707
5.22965
5.3253
5.56086
5.8203
5.9223
6.12262
6.61639
5.99536
5.91633
6.03913
6.10749
6.07845
5.36314
5.51928
5.43369
5.87644
5.80766
5.46234
5.50612
5.56611
5.32512
5.00371
4.89521
5.0642
5.14189
5.29453
4.90036
4.82572
5.06105
5.15479
5.0395
4.8812
5.20806
4.92838
4.93913
4.9724
5.2012
4.73791
4.76722
4.87646
4.56356
